Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.70366	30	257	1	LastDelay	0.103656	103656	1	5
4.70366	30	257	1	FullDelay	4.70366	4.70366e+06	5	5
4.71567	26	257	2	LastDelay	0.115668	115668	1	5
4.71567	26	257	2	FullDelay	4.41567	4.41567e+06	4	5
4.71567	30	257	2	LastDelay	0.015668	15668	1	5
4.71567	30	257	2	FullDelay	4.01567	4.01567e+06	5	5
4.7309	17	257	2	LastDelay	0.0308983	30898.3	1	3
4.7309	17	257	2	FullDelay	3.3309	3.3309e+06	5	3
4.75808	12	257	39	LastDelay	0.05808	58080	1	3
4.75808	12	257	39	FullDelay	0.05808	58080	1	3
4.76659	31	257	30	LastDelay	0.066592	66592	1	3
4.76659	31	257	30	FullDelay	3.36659	3.36659e+06	2	3
4.7751	18	257	51	LastDelay	0.075104	75104	1	3
4.7751	18	257	51	FullDelay	0.075104	75104	1	3
4.80129	26	257	87	LastDelay	0.00129419	1294.19	1	5
4.80129	26	257	87	FullDelay	0.00129419	1294.19	1	5
4.80268	18	257	48	LastDelay	0.00267532	2675.32	1	3
4.80268	18	257	48	FullDelay	0.00267532	2675.32	1	3
4.85808	12	257	29	LastDelay	0.05808	58080	1	3
4.85808	12	257	29	FullDelay	0.05808	58080	1	3
4.86659	31	257	32	LastDelay	0.066592	66592	1	3
4.86659	31	257	32	FullDelay	4.36659	4.36659e+06	2	3
4.8751	17	257	3	LastDelay	0.075104	75104	1	3
4.8751	17	257	3	FullDelay	4.7751	4.7751e+06	3	3
4.91213	26	257	3	LastDelay	0.012128	12128	1	5
4.91213	26	257	3	FullDelay	3.31213	3.31213e+06	3	5
4.91213	30	257	3	LastDelay	0.112128	112128	1	5
4.91213	30	257	3	FullDelay	3.11213	3.11213e+06	2	5
4.95808	12	257	24	LastDelay	0.05808	58080	1	3
4.95808	12	257	24	FullDelay	0.05808	58080	1	3
4.96659	31	257	35	LastDelay	0.066592	66592	1	3
4.96659	31	257	35	FullDelay	4.36659	4.36659e+06	3	3
4.9751	18	257	34	LastDelay	0.075104	75104	1	3
4.9751	18	257	34	FullDelay	0.075104	75104	1	3
4.98362	17	257	4	LastDelay	0.083616	83616	1	3
4.98362	17	257	4	FullDelay	2.68362	2.68362e+06	2	3
5.00291	18	257	58	LastDelay	0.00290631	2906.31	1	3
5.00291	18	257	58	FullDelay	0.00290631	2906.31	1	3
5.02064	26	257	4	LastDelay	0.02064	20640	1	5
5.02064	26	257	4	FullDelay	1.82064	1.82064e+06	2	5
5.02064	30	257	4	LastDelay	0.12064	120640	1	5
5.02064	30	257	4	FullDelay	4.82064	4.82064e+06	3	5
5.05807	12	257	91	LastDelay	0.058072	58072	1	3
5.05807	12	257	91	FullDelay	0.058072	58072	1	3
5.06658	31	257	43	LastDelay	0.066584	66584	1	3
5.06658	31	257	43	FullDelay	3.76658	3.76658e+06	2	3
