Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
580.946	2	257	44	FullDelay	67.4462	6.74462e+07	7	5
580.955	8	257	36	LastDelay	0.654674	654674	1	5
580.955	8	257	36	FullDelay	91.8547	9.18547e+07	11	5
580.955	10	257	36	LastDelay	0.154675	154675	1	5
580.955	10	257	36	FullDelay	83.7547	8.37547e+07	7	5
580.963	6	257	12	LastDelay	2.76317	2.76317e+06	1	5
580.963	6	257	12	FullDelay	2.76317	2.76317e+06	1	5
580.963	7	257	12	LastDelay	3.56317	3.56317e+06	1	5
580.963	7	257	12	FullDelay	3.56317	3.56317e+06	1	5
580.963	2	257	12	LastDelay	0.0631705	63170.5	1	5
580.963	2	257	12	FullDelay	25.4632	2.54632e+07	8	5
580.963	10	257	12	LastDelay	3.66317	3.66317e+06	1	5
580.963	10	257	12	FullDelay	5.86317	5.86317e+06	2	5
580.964	0	257	33	LastDelay	0.0636195	63619.5	1	3
580.964	0	257	33	FullDelay	75.5636	7.55636e+07	12	3
580.964	5	257	33	LastDelay	3.86362	3.86362e+06	1	3
580.964	5	257	33	FullDelay	96.5636	9.65636e+07	10	3
580.98	4	257	28	LastDelay	1.08029	1.08029e+06	1	3
580.98	4	257	28	FullDelay	6.58029	6.58029e+06	2	3
580.98	5	257	28	LastDelay	0.080287	80287	1	3
580.98	5	257	28	FullDelay	39.4803	3.94803e+07	6	3
580.989	1	257	14	LastDelay	3.08878	3.08878e+06	1	3
580.989	1	257	14	FullDelay	3.08878	3.08878e+06	1	3
580.989	0	257	14	LastDelay	3.38878	3.38878e+06	1	3
580.989	0	257	14	FullDelay	3.38878	3.38878e+06	1	3
580.989	4	257	14	LastDelay	0.0887829	88782.9	1	3
580.989	4	257	14	FullDelay	5.48878	5.48878e+06	2	3
580.99	3	257	95	LastDelay	0.0902869	90286.9	1	4
580.99	3	257	95	FullDelay	99.3903	9.93903e+07	9	4
580.994	8	257	13	LastDelay	0.0936081	93608.1	1	5
580.994	8	257	13	FullDelay	1.09361	1.09361e+06	2	5
580.997	1	257	15	LastDelay	0.0972789	97278.9	1	3
580.997	1	257	15	FullDelay	52.9973	5.29973e+07	8	3
580.997	0	257	15	LastDelay	1.29728	1.29728e+06	1	3
580.997	0	257	15	FullDelay	4.29728	4.29728e+06	2	3
581.002	11	257	16	LastDelay	0.00229744	2297.44	1	6
581.002	11	257	16	FullDelay	0.00229744	2297.44	1	6
581.016	9	257	4	LastDelay	0.0156237	15623.7	1	6
581.016	9	257	4	FullDelay	0.0156237	15623.7	1	6
581.042	3	257	21	LastDelay	0.0418383	41838.3	1	4
581.042	3	257	21	FullDelay	0.0418383	41838.3	1	4
581.042	0	257	35	LastDelay	0.0422874	42287.4	1	3
581.042	0	257	35	FullDelay	38.5423	3.85423e+07	5	3
581.044	8	257	16	LastDelay	0.0440761	44076.1	1	5
581.044	8	257	16	FullDelay	0.0440761	44076.1	1	5
581.044	2	257	16	LastDelay	0.844076	844076	1	5
581.044	2	257	16	FullDelay	2.34408	2.34408e+06	2	5
581.051	4	257	21	LastDelay	0.0506154	50615.4	1	3
581.051	4	257	21	FullDelay	30.1506	3.01506e+07	5	3
581.051	5	257	21	LastDelay	3.15062	3.15062e+06	1	3
581.051	5	257	21	FullDelay	3.15062	3.15062e+06	1	3
581.061	6	257	6	LastDelay	0.161084	161084	1	5
581.061	6	257	6	FullDelay	5.86108	5.86108e+06	5	5
581.061	7	257	6	LastDelay	3.96108	3.96108e+06	1	5
581.061	7	257	6	FullDelay	3.96108	3.96108e+06	1	5
581.061	2	257	6	LastDelay	2.96108	2.96108e+06	1	5
581.061	2	257	6	FullDelay	3.26108	3.26108e+06	2	5
581.061	10	257	6	LastDelay	1.36108	1.36108e+06	1	5
581.061	10	257	6	FullDelay	6.96108	6.96108e+06	3	5
581.07	7	257	93	LastDelay	0.16958	169580	1	5
581.07	7	257	93	FullDelay	86.7696	8.67696e+07	8	5
